id,title,category,score,comments,author,time
47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,7,1,mellosouls,2026-04-05 17:14
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 17:14
47645976,AI that copied musical artist files copyright claim against artist [updated],technology,60,14,josephcsible,2026-04-05 17:14
47617376,OpenAI Acquires TBPN,technology,238,190,surprisetalk,2026-04-05 17:15
47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,239,119,upofadown,2026-04-05 17:15
47633640,How to Write Unmaintainable Code (1999),technology,51,17,downbad_,2026-04-05 17:15
47645926,The Spaceballs sequel will be released in April next year,science,5,0,WaitWaitWha,2026-04-05 17:15
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,208,pretext,2026-04-05 17:15
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,49,52,luca-ctx,2026-04-05 17:15
47618189,Tailscale's new macOS home,technology,561,306,tosh,2026-04-05 17:15
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,technology,92,37,borski,2026-04-05 17:15
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,363,199,sedev,2026-04-05 17:15
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 17:15
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,780,365,hkmaxpro,2026-04-05 17:16
47627419,The Axios supply chain attack used individually targeted social engineering,technology,46,11,cmitsakis,2026-04-05 17:16
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,7,0,Jet_Xu,2026-04-05 17:16
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,5,bookmtn,2026-04-05 17:16
47642552,Nandgame – Build a Computer from Scratch,sports,5,0,Vortigaunt,2026-04-05 17:16
47609492,50 years measuring the cleanest air,technology,23,5,defrost,2026-04-05 17:16
47644529,Why samurai are cooler than klingons,technology,9,0,mooreds,2026-04-05 17:16
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,239,138,nickslaughter02,2026-04-05 17:16
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,44,24,tosh,2026-04-05 17:17
47645696,Towards end-to-end automation of AI research,technology,6,0,hardmaru,2026-04-05 17:17
47611921,Significant raise of reports,technology,313,155,stratos123,2026-04-05 17:17
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 17:17
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 17:17
47620933,Memo: A language that remembers only the last 12 lines of code,technology,57,36,notem,2026-04-05 17:17
47640722,12k AI-generated blog posts added in a single commit,technology,146,145,noslop,2026-04-05 17:17
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 17:17
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,56,codingmoh,2026-04-05 17:17
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 17:17
47609694,Email obfuscation: What works in 2026?,technology,369,103,jaden,2026-04-05 17:18
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",technology,96,39,Bender,2026-04-05 17:18
47640984,"Iran's Network of Cameras Bolsters Air Defenses, Expert Says",technology,46,17,uxhacker,2026-04-05 17:18
47635340,Let's be Honest about AI Coding,technology,23,3,lordofmoria,2026-04-05 17:18
47645100,Mission to Recover Downed F-15E Aircrew,technology,7,0,everybodyknows,2026-04-05 17:18
47592755,OpenAI closes funding round at an $852B valuation,technology,527,493,surprisetalk,2026-04-05 17:18
47639207,Show HN: Tokencap – Token budget enforcement across your AI agents,technology,7,0,pykul,2026-04-05 17:18
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,87,30,ronfriedhaber,2026-04-05 17:18
47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,128,121,thinkingemote,2026-04-05 17:18
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 17:19
47643347,OpenRouter Raises $120M at a $1.3B Valuation,technology,9,7,ryanatallah,2026-04-05 17:19
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 17:19
47623101,A Rave Review of Superpowers (For Claude Code),technology,47,25,emschwartz,2026-04-05 17:19
47603737,AI for American-produced cement and concrete,technology,223,117,latchkey,2026-04-05 17:19
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,33,0,flakespancakes,2026-04-05 17:19
47592462,I traced my traffic through a home Tailscale exit node,technology,155,72,stonecharioteer,2026-04-05 17:19
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 17:19
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",technology,425,151,PrismML,2026-04-05 17:20
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,36,6,j0rg3,2026-04-05 17:20
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,2026-04-05 17:20
47636820,Show HN: Web Push Notifications for Hacker News,entertainment,5,1,kinlan,2026-04-05 17:20
47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,technology,50,10,liz_ifixit,2026-04-05 17:20
47634328,Show HN: DotReader – connects ideas across your books automatically,entertainment,5,2,efecerre,2026-04-05 17:20
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 17:20
47631011,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,technology,15,5,mettamage,2026-04-05 17:20
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 17:20
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,21,4,symisc_devel,2026-04-05 17:20
47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,technology,30,4,diehunde,2026-04-05 17:21
47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,technology,35,8,heavyset_go,2026-04-05 17:21
47633734,ENiGMA½ BBS Software,technology,10,1,NuSkooler,2026-04-05 17:21
47639224,Intelligence Cannot Be Trained?,technology,7,7,hyperzzw,2026-04-05 17:21
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 17:21
47587866,Microsoft: Copilot is for entertainment purposes only,technology,579,200,lpcvoid,2026-04-05 17:21
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,25,14,arttaboi,2026-04-05 17:21
